Mandi,Traders,Coupons,Type
Chak Dogra,5,575,Sub Yard
Chak Janisar,21,1677,Purchase Centre
Chak Kandesah,14,497,Purchase Centre
Chak Kaniyan,6,736,Purchase Centre
Chak Karen Khan,2,103,Purchase Centre
Chak Khede wala,8,40,Purchase Centre
Chak Madrassa,14,576,Purchase Centre
Chak Rohiwala,6,568,Purchase Centre
Chak Ruldu Singh,3,393,Purchase Centre
Chak Sikander,19,1407,Purchase Centre
Chak Suhele wala,5,420,Purchase Centre
Chak Tahliwala,12,472,Purchase Centre
Chak kalan,6,373,Purchase Centre
Chak pakhi,16,503,Purchase Centre
Chak sotriyan,21,525,Purchase Centre
Chak varoke,12,1299,Purchase Centre
Chakerian,5,291,Purchase Centre
Chakk Fateh Singh Wala,20,1080,Sub Yard
Chakkar,17,703,Purchase Centre
Chaklan,8,255,Purchase Centre
Chakvandhel,3,310,Purchase Centre
"Chamb Rice Mills, village chak Dahewala, Shri Mukatsar Sahib",3,129,Sheller/ Others
Chamiyari,38,1946,Purchase Centre
Chamkaur Sahib,44,2587,Main Yard
Chamunda Rice mills,1,20,Sheller/ Others
Chanan Kheda,10,712,Purchase Centre
Chanarthal,28,1858,Purchase Centre
Chanarthal,28,1858,Main Yard
Chand nawan,8,533,Sub Yard
ChandBhan,10,320,Purchase Centre
Chandbaja,15,348,Purchase Centre
Changal,10,349,Purchase Centre
Changali Jadid,9,430,Purchase Centre
Changali Kadim,12,441,Purchase Centre
Channa Gulab Singh Wala,6,453,Purchase Centre
Channanwal,9,658,Sub Yard
Channo,7,410,Purchase Centre
Chapar,8,450,Purchase Centre
ChaparChiri,8,795,Purchase Centre
Charan Kamal Rice Mill,3,107,Sheller/ Others
"Chardikalan Rice Industies, Gidarbaha",4,160,Sheller/ Others
Charul Kalan,17,398,Purchase Centre
Chatha Nanhera,12,404,Purchase Centre
Chathesekhwan,9,438,Purchase Centre
Chathewala,11,587,Purchase Centre
Chauda,10,802,Purchase Centre
Chaukbajaj,15,1487,Purchase Centre
Chauke Rice and general mills Rampura,2,65,Sheller/ Others
Chava,4,389,Purchase Centre
Chawla Traders,1,97,Sheller/ Others
Cheema,28,2838,Purchase Centre
Cheema,28,2838,Main Yard
Cheema agro foods,1,70,Sheller/ Others
Cheema industries (O),1,10,Sheller/ Others
Cheema kalan,10,722,Purchase Centre
Chenewala,6,498,Purchase Centre
Chet Ram Rice Mills,2,101,Sheller/ Others
Chhagan Rai Hithar,3,284,Purchase Centre
Chhahr,23,988,Purchase Centre
Chhajla,8,407,Purchase Centre
Chhajli,18,752,Sub Yard
Chhaju ram Muni lal Rice mill Mukerian,2,113,Sheller/ Others
Chhali Rice Mill,2,51,Sheller/ Others
Chhapa,10,740,Purchase Centre
Chhateanan,10,699,Purchase Centre
Chheharta Mandi,9,850,Sub Yard
Chhiniwal,6,523,Purchase Centre
Chhitawala,17,427,Purchase Centre
Chibaranwali,23,862,Purchase Centre
Chida,4,300,Purchase Centre
Chimnewala,8,490,Purchase Centre
Chirag Sah Wali,15,272,Purchase Centre
Chodhary Rice mill,2,10,Sheller/ Others
Chodhary agro Industry,3,175,Sheller/ Others
Chodhra,12,725,Purchase Centre
Chogava,20,1373,Main Yard
Chohla Sahib,47,1841,Purchase Centre
Chonda foods pvt. Ltd.,1,20,Sheller/ Others
Chono,17,1146,Purchase Centre
Choudary Rice Mill,1,70,Sheller/ Others
Chuariyan Wali,36,1153,Purchase Centre
Chuck Sadoke,10,935,Sub Yard
Chuga Khurd,6,411,Purchase Centre
Chugawa,14,487,Sub Yard
Chughe,10,621,Purchase Centre
ChugheKhurd,11,400,Purchase Centre
Chugtewala,12,396,Purchase Centre
Chuhad Khalchiyan,9,670,Purchase Centre
Chuhanke kalan,6,295,Purchase Centre
Chuhanke khurd,6,210,Purchase Centre
Chuhar chak,6,175,Purchase Centre
Chungha,7,557,Purchase Centre
Chuni kalan,23,1291,Purchase Centre
Churiwala Dhanna,6,290,Purchase Centre
Churpur,5,494,Purchase Centre
Chutala,2,104,Purchase Centre
"City Rice Mills, Piori",2,15,Sheller/ Others
CoatFata,31,1516,Sub Yard
CoatSukhian,16,997,Sub Yard
D K traders,1,41,Sheller/ Others
D. P. mini gram Udyog,2,35,Sheller/ Others
D. R. Rice Mill,1,62,Sheller/ Others
D.D. Agro Foods,1,75,Sheller/ Others
D.K. Rice Mills Goniana,2,150,Sheller/ Others
D.N. Singla and company,2,212,Sheller/ Others
D.S. Gram udyog Samty,1,126,Sheller/ Others
Dabbwal kalan,29,1310,Sub Yard
Dabdhikhana,7,308,Purchase Centre
Dadhera,7,413,Purchase Centre
Dadhiba,43,2262,Main Yard
Dagru,295,22756,Purchase Centre
Dakala,24,997,Main Yard
Dala,13,602,Sub Yard
Dalel Singh Wala,7,322,Purchase Centre
Dalel wala,13,875,Purchase Centre
Dalla,28,1264,Sub Yard
Daluwala,8,544,Purchase Centre
Dan Singh wala,11,533,Purchase Centre
Dana Mandi road Harike kalan M/s Gurdiyal Singh Buta Singh,1,62,Sheller/ Others
Dandrala Dhidsa,9,365,Sub Yard
Danvir Rice Mill,3,43,Sheller/ Others
Daomajra,3,445,Sub Yard
Daon,29,927,Purchase Centre
Darola/ Daroli,7,780,Purchase Centre
Darouli,10,50,Purchase Centre
Dashmesh Artia cotton Factory,2,50,Sheller/ Others
Dashmesh Industry,1,120,Sheller/ Others
Dashmesh Rice Mill,7,507,Sheller/ Others
Dashmesh Rice Mill,7,507,Sheller/ Others
Dashmesh Rice Mill,7,507,Sheller/ Others
Dashmesh Rice Mill,7,507,Sheller/ Others
Dashmesh Rice Mill,7,507,Sheller/ Others
Dashmesh Rice Mills,7,110,Sheller/ Others
Dashmesh Rice Mills Bhucho,2,25,Sheller/ Others
"Dashmesh Rice Mills, pakho ke",3,115,Sheller/ Others
Dashmesh agro Industry,4,181,Sheller/ Others
Daska,13,615,Purchase Centre
Dasoda singh Wala,12,634,Purchase Centre
Dasuha,35,2051,Main Yard
Datarpur,14,526,Purchase Centre
Datewas,7,440,Purchase Centre
Daula Singh Wala,7,406,Purchase Centre
Daun Kalan,10,699,Purchase Centre
"Davindra cotton pvt. Ltd., Balamgarh,  Shri Mukatsar Sahib",6,172,Sheller/ Others
Dayalgarh,9,778,Sub Yard
Deena Sahib,14,610,Purchase Centre
"Deep  rice mills, Guruharsahaye rode, village Kotly devan,  Shri Mukatsar Sahib",2,110,Sheller/ Others
Deep Enterprises,1,64,Sheller/ Others
Deep Singh Wala,20,1116,Purchase Centre
Deepak Rice Mill,1,143,Sheller/ Others
Deepak Rice and general mill,1,84,Sheller/ Others
Deewane,4,361,Purchase Centre
Deewankhera,14,926,Purchase Centre
Deharka,9,507,Purchase Centre
Dehkalan,6,314,Purchase Centre
Dehla/ Bhutal Khurd,10,520,Purchase Centre
Deluana,5,323,Purchase Centre
Dera Baba Nank,30,1887,Main Yard
Des Rice Mills Maud,2,72,Sheller/ Others
Dev Raj Rice Mill,5,317,Sheller/ Others
Dev Raj Rice Mill,5,317,Sheller/ Others
Dev agro mills,1,10,Sheller/ Others
Dev rice mills,1,10,Sheller/ Others
Devigarh,38,1861,Sub Yard
Devinagar,4,585,Purchase Centre
Dewaki Rice Mill,3,261,Sheller/ Others
Dhaban Kokriyan,5,283,Purchase Centre
Dhablan,7,668,Purchase Centre
Dhabwali Dhab,10,420,Purchase Centre
Dhabwali Rehriyan,7,508,Purchase Centre
Dhade,13,1184,Sub Yard
Dhadh Kasel,6,373,Sub Yard
Dhadhogal,18,521,Sub Yard
Dhadhrian,8,524,Sub Yard
Dhadhvindhi,9,1038,Purchase Centre
Dhagind,7,450,Sheller/ Others
Dhaipyi,8,429,Purchase Centre
Dhaithal,7,634,Purchase Centre
Dhalerkalan,11,596,Purchase Centre
Dhalewan,13,725,Purchase Centre
Dhaliwal Agro Foods Bhagta,1,111,Sheller/ Others
Dhaliwal Rice mill,1,75,Sheller/ Others
Dhaliwalbet,4,824,Purchase Centre
Dhamian,11,604,Purchase Centre
Dhamout,11,708,Sub Yard
Dhanansu,6,370,Purchase Centre
Dhanauli,11,910,Main Yard
Dhandiwal,9,321,Purchase Centre
Dhandolikallan,9,515,Purchase Centre
Dhandor,23,646,Purchase Centre
Dhandoyi,3,425,Purchase Centre
Dhandra,11,606,Sub Yard
Dhaner,4,294,Purchase Centre
Dhanetha,9,493,Purchase Centre
Dhangera,15,653,Purchase Centre
Dhani Teliyanwali/ Kandukhera,15,661,Purchase Centre
Dhanoa Rice mill,1,113,Sheller/ Others
Dhanoula,43,893,Main Yard
Dhanraj Rice Mills Khanna,2,55,Sheller/ Others
Dhapali,14,551,Sub Yard
Dharamkot,68,2427,Main Yard
Dharamkot Randhawa,4,425,Purchase Centre
Dharamvir Rice Mill,3,75,Sheller/ Others
Dhariwal,27,2302,Main Yard
Dharmgarh,8,515,Purchase Centre
Dharmpura,21,585,Purchase Centre
Dharowali,7,554,Purchase Centre
Dheemawali,7,493,Purchase Centre
Dhelowal,13,280,Purchase Centre
Dhelwa,9,523,Purchase Centre
Dhengarpur,4,404,Purchase Centre
Dhesi Rice and General Mill,2,172,Sheller/ Others
Dhidhsa,6,519,Purchase Centre
Dhigar,5,336,Purchase Centre
Dhikh,6,410,Purchase Centre
Dhillon Agro Foods Jida,2,70,Sheller/ Others
Dhillon Rice Mills,2,10,Sheller/ Others
"Dhillon Rice Mills, Ghagha road, Jandwala, Malout",9,135,Sheller/ Others
Dhillon Rice mill,3,144,Sheller/ Others
Dhillon Rice mill,3,144,Sheller/ Others
Dhilwa,48,3096,Purchase Centre
Dhilwa,48,3096,Main Yard
Dhindsa Rice Mill,1,66,Sheller/ Others
Dhinga wali,9,854,Purchase Centre
"Dhiraj rice mills, hamidi",1,230,Sheller/ Others
Dhirowal,8,474,Purchase Centre
Dhodh,22,564,Purchase Centre
Dhola,12,379,Purchase Centre
Dhotian,24,1109,Sub Yard
Dhrangwala,12,543,Purchase Centre
DhuDhike,24,1416,Purchase Centre
Dhudkot,4,346,Purchase Centre
Dhulkot,12,746,Purchase Centre
Dhuri,150,5568,Main Yard
Dhurkot,9,572,Purchase Centre
Dhurkot kalan,7,455,Purchase Centre
Diamond rice and janral mill,1,60,Sheller/ Others
Dihana,2,148,Purchase Centre
Dilbag Rice mill,2,25,Sheller/ Others
Dinanagar,22,2139,Main Yard
Dinesh Rice Mill,1,98,Sheller/ Others
Dion khera,10,535,Purchase Centre
"Dipali Rice mill, Rampura",1,58,Sheller/ Others
Dirhba Rice Mill,4,101,Sheller/ Others
Diyalgarh Jejiyan,2,246,Purchase Centre
Diyalpura,41,1164,Purchase Centre
Diyalpura Mirza,14,520,Purchase Centre
Diyanpura Bhaika,10,495,Purchase Centre
Dod Pind,8,315,Sheller/ Others
Dod Rice mill,1,93,Sheller/ Others
Doda,34,2946,Purchase Centre
Dodar,19,1035,Sub Yard
Dodewala,11,397,Purchase Centre
Dodra,15,631,Purchase Centre
Dohak,13,565,Purchase Centre
Dolatpur niva,3,246,Purchase Centre
Dolatpura,6,283,Purchase Centre
Doolat Rice Mill,1,10,Sheller/ Others
Doraha,26,1337,Main Yard
Dorangala,6,799,Purchase Centre
Dosanjh kalan,18,847,Purchase Centre
Dostpur,3,363,Purchase Centre
Draj Draka,10,707,Purchase Centre
Droli Kalan,16,360,Sub Yard
Duaba rice and janral mill,5,104,Sheller/ Others
Dubli,11,511,Purchase Centre
Dudhahur,8,410,Purchase Centre
Dudhan Sadhan,37,1846,Main Yard
Dudian,8,419,Purchase Centre
Duga,11,842,Purchase Centre
Dugal Kalan,17,1191,Purchase Centre
Dula Singh wala,20,680,Purchase Centre
Dulewala,9,326,Purchase Centre
Dulowal,8,426,Purchase Centre
Dumewal,80,531,Sub Yard
Dupalpur,10,673,Purchase Centre
"Durga Agro Industries, Butar Bakhua",2,108,Sheller/ Others
Durga Rice Mill,5,308,Sheller/ Others
Durga Rice Mill,5,308,Sheller/ Others
Durga Rice Mill,5,308,Sheller/ Others
Durga Rice Mill,5,308,Sheller/ Others
Durga Rice Mill,5,308,Sheller/ Others
Durga Rice Mill 2,1,139,Sheller/ Others
Durga Rice Mill Mahla,2,135,Sheller/ Others
Durga Rice Mills,7,430,Sheller/ Others
Durga Rice Mills,7,430,Sheller/ Others
Durga Traders,1,115,Sheller/ Others
Durgesh Rice Mills,2,37,Sheller/ Others
Dutarawali,16,1057,Purchase Centre
Ekam Industry,3,323,Sheller/ Others
Ekam Rice Mill,5,213,Sheller/ Others
Ekam Rice Mill,5,213,Sheller/ Others
Ekam agro foods,2,169,Sheller/ Others
Ekam rice and gen. mill,2,169,Sheller/ Others
F P FejulaChak,1,97,Purchase Centre
F.C.I,7,40,Sheller/ Others
Fabra,7,476,Sub Yard
Fade Kalan,7,358,Purchase Centre
Fafde Bhaike,19,1096,Sub Yard
Fagwadha,160,9373,Main Yard
Faloud Khurd,5,265,Purchase Centre
Faraksar,9,723,Purchase Centre
Farangi Rice Mill,2,260,Sheller/ Others
Faridewala,7,389,Purchase Centre
Faridkot,109,5752,Main Yard
Farwahi,9,528,Purchase Centre
Farwal,12,829,Purchase Centre
Fatakera/ Midukhera,6,542,Purchase Centre
Fatanwala,22,522,Purchase Centre
Fategarh Sabhran,20,496,Purchase Centre
Fateh Majri,10,1048,Purchase Centre
Fateh Rice mill,1,77,Sheller/ Others
Fateh rice mill,2,155,Sheller/ Others
Fatehgarh,8,449,Purchase Centre
Fatehgarh Chhana,7,380,Purchase Centre
Fatehgarh Chudhiyan,126,5839,Main Yard
Fatehgarh Koretana,7,639,Purchase Centre
Fatehgarh Panjtur,44,1665,Main Yard
Fatehpur,6,422,Purchase Centre
Fatehpur Maniyan,11,543,Purchase Centre
Fateyabad,26,1820,Purchase Centre
Fatta Mulka,67,993,Sub Yard
Fattewala Hithar,13,487,Purchase Centre
Fattuwala,5,230,Purchase Centre
Fatudhiga,22,986,Purchase Centre
Fazikla,387,12387,Main Yard
Ferojpur,4,344,Purchase Centre
Ferojpur Kaint,50,2642,Main Yard
Ferojpur Kalan,14,1037,Purchase Centre
Ferojpur Sehar,118,1175,Main Yard
Ferojsah,18,1053,Purchase Centre
Feroke,4,302,Purchase Centre
Firozepur food pvt. Ltd,3,125,Sheller/ Others
Flera,10,476,Purchase Centre
Flor mill (Pvt.),1,5,Sheller/ Others
Flour,43,2692,Main Yard
Focal Point Bandala,3,132,Sheller/ Others
Foota Rice Mill,1,18,Sheller/ Others
Friends Rice Mills,1,63,Sheller/ Others
Friends rice and janral mill,1,91,Sheller/ Others
"Friends rice mill Gram Udyog Samti, Bharoo",2,164,Sheller/ Others
Friends traders,1,141,Sheller/ Others
Fuglana,8,372,Purchase Centre
Fulu Khera,39,1582,Purchase Centre
G D S and Rice Mill,1,190,Sheller/ Others
G D foods Sanor,1,90,Sheller/ Others
G Haweli,1,5,Sheller/ Others
G S Rice Mills,2,161,Sheller/ Others
G.B.rice mills Rampura,2,76,Sheller/ Others
G.G. Agro,1,160,Sheller/ Others
G.J Agro,5,97,Sheller/ Others
G.M Rice Mills,1,36,Sheller/ Others
G.M.Rice Mill,3,327,Sheller/ Others
G.N agro,1,103,Sheller/ Others
G.N.K foods,2,167,Sheller/ Others
G.R Rice Mills,1,78,Sheller/ Others
G.R.L. Industries,3,86,Sheller/ Others
G.S. Rice Mill,3,20,Sheller/ Others
G.S. rice and Gen. mill,1,148,Sheller/ Others
G.V. J rice Ind.,6,75,Sheller/ Others
Gada Dob,4,448,Purchase Centre
Gadhsankar,12,749,Main Yard
Gadid,6,444,Purchase Centre
Gagan Agro and rice Exports,5,39,Sheller/ Others
Gagan Rice mill,1,96,Sheller/ Others
"Gagan Rice mill,Bathinda",1,109,Sheller/ Others
Gagarpur,9,581,Purchase Centre
Gagarpur Rice Mills,2,66,Sheller/ Others
Gagewal,4,271,Purchase Centre
Gagobuha,11,711,Purchase Centre
Gagomahal,25,1379,Purchase Centre
Gagon (Focal Point),2,164,Purchase Centre
Gahila Rice Mill,1,71,Sheller/ Others
Gahlewala,4,432,Purchase Centre
Gahot Bhatian,4,360,Purchase Centre
Gajewas,13,1652,Sub Yard
Gajiana,12,889,Purchase Centre
Gajjumajra,11,922,Sub Yard
Gajnipur,7,644,Purchase Centre
Gal,9,323,Purchase Centre
Galib Kalan,9,646,Purchase Centre
Galwati,6,446,Purchase Centre
Gandhar,23,556,Purchase Centre
Gandhra,2,180,Purchase Centre
Gandhuan,12,495,Purchase Centre
Gandiwid Dhatal (F.p.),11,536,Sub Yard
Ganes rice mill (D R Rice Mill),1,10,Sheller/ Others
Ganesh Agro Industries,1,210,Sheller/ Others
Ganesh Rice Mill,6,281,Sheller/ Others
Ganesh Rice Mill,6,281,Sheller/ Others
Ganesh Rice Mills,7,517,Sheller/ Others
Ganesh Rice Mills,7,517,Sheller/ Others
Ganesh Rice Mills,7,517,Sheller/ Others
Ganesh Rice Mills,7,517,Sheller/ Others
Ganesh Rice mills,1,246,Sheller/ Others
Ganga,7,346,Purchase Centre
Ganga Mayia Rice Mills Bhucho,1,64,Sheller/ Others
Ganga Ram rice mills,2,76,Sheller/ Others
Ganga Rice Mill,2,150,Sheller/ Others
Ganga Traders,1,187,Sheller/ Others
Ganga nathana,10,457,Purchase Centre
Gangohar,8,473,Purchase Centre
Ganji Gulab Singh Wala,15,489,Purchase Centre
Ganoana,71,2114,Main Yard
Ganpati Rice Mill,3,298,Sheller/ Others
Ganpati Rice Mill,3,298,Sheller/ Others
Ganpati Rice Mill,3,298,Sheller/ Others
Ganpati Rice Mill,3,298,Sheller/ Others
"Ganpati Rice Mills, Mahuana road, Tapa Khera, Malout",7,35,Sheller/ Others
Ganpati Rice mills,1,88,Sheller/ Others
"Ganpati Rice mills, Bhaini mia Kha",3,86,Sheller/ Others
Ganpati Siri rice mills,1,78,Sheller/ Others
Ganpati foods,1,145,Sheller/ Others
"Ganpati mattles, Shri Mukatsar Sahib",5,25,Sheller/ Others
"Ganpati rice mill, Sangat",2,350,Sheller/ Others
Garag Rice Mill,1,254,Sheller/ Others
Garag Rice Mill,1,254,Sheller/ Others
Garag Rice Mill,1,254,Sheller/ Others
Garag Rice Mill,1,254,Sheller/ Others
Garag Rice Mill,1,254,Sheller/ Others
Garag Rice mills,11,838,Sheller/ Others
Garag Rice mills,11,838,Sheller/ Others
Garag mills,2,142,Sheller/ Others
"Garag rice and General Mill, Kharar",1,301,Sheller/ Others
Garag rice gram mill,3,150,Sheller/ Others
Garcha,11,591,Purchase Centre
Gardi wala,7,887,Purchase Centre
Garg Agro Food Goniana,3,124,Sheller/ Others
Garg Agro Foods,3,67,Sheller/ Others
"Garg Agro Industires, Motle wala road, Bariwala",2,93,Sheller/ Others
Garg Brothers,1,135,Sheller/ Others
Garg Rice Mills,4,30,Sheller/ Others
Garg Rice Mills  Maud,1,78,Sheller/ Others
Garg Rice seller,3,95,Sheller/ Others
Garosia Makhan,4,304,Purchase Centre
Gatti Rajoke,7,279,Purchase Centre
Gatwali,7,330,Purchase Centre
Gehl,7,287,Purchase Centre
Gehla,15,747,Purchase Centre
Gehri Baran singh,8,257,Purchase Centre
Gehri Devi Nagar,4,540,Purchase Centre
Ghabda,14,690,Purchase Centre
Ghaga,48,2822,Sub Yard
Ghaga,48,2822,Purchase Centre
Ghaga Rice Mill,2,75,Sheller/ Others
GhalKhurd,18,951,Purchase Centre
Ghallu,18,664,Purchase Centre
Ghaloti,22,892,Sub Yard
Ghanikebet,2,68,Purchase Centre
Ghaniya,7,488,Purchase Centre
Ghanoli,11,905,Sub Yard
Ghanour,25,1851,Main Yard
Ghanour Kalan,13,701,Purchase Centre
Ghanour Rajputa,4,322,Purchase Centre
Ghanour Rice Mill,2,60,Sheller/ Others
Ghanour khurd,8,267,Purchase Centre
Ghanurki,4,576,Purchase Centre
Gharacho,21,1264,Purchase Centre
Gharam,2,353,Sub Yard
Ghariala,38,1296,Purchase Centre
Ghatian Wali Jattan,20,1022,Purchase Centre
Ghavadi,12,798,Purchase Centre
Ghogra,9,326,Purchase Centre
Ghoh,7,594,Purchase Centre
Gholia Khurd,14,676,Sub Yard
Gholiaya kalan,12,459,Purchase Centre
Ghorenab,15,552,Purchase Centre
Ghorewaha,2,455,Sub Yard
Ghubaya,26,1508,Sub Yard
Ghudda,6,900,Sub Yard
Ghugiana,13,539,Purchase Centre
Ghuman,48,1587,Purchase Centre
Ghuman Rice Mills,1,17,Sheller/ Others
Ghuman kalan,17,860,Purchase Centre
Ghuman kalan,17,860,Sheller/ Others
Ghumiyara,4,286,Purchase Centre
Ghunas,6,362,Purchase Centre
Ghuriana,6,465,Purchase Centre
Giana,9,1039,Purchase Centre
Gidarbaha,128,3384,Main Yard
Gidarpindi,30,716,Purchase Centre
Gidriani,10,368,Purchase Centre
Gil Mandi,6,785,Purchase Centre
Gilkhanpur,4,166,Purchase Centre
Gill Khurd,5,288,Purchase Centre
Gill Rice Mills,1,74,Sheller/ Others
Gill Road,7,729,Sub Yard
Gill agro Ind.,1,129,Sheller/ Others
Goari rice genral mill,1,65,Sheller/ Others
Gobind Das Rice mills Rampura,3,105,Sheller/ Others
Gobind Rice Mill,6,332,Sheller/ Others
Gobind Rice Mill,6,332,Sheller/ Others
Gobind Rice Mill,6,332,Sheller/ Others
Gobind Rice Mill,6,332,Sheller/ Others
"Gobind Rice mill, Barnala",1,65,Sheller/ Others
Gobind agro food,1,75,Sheller/ Others
Gobind foods,2,50,Sheller/ Others
Gobind rice Industry,3,20,Sheller/ Others
Gobind rice factory Samana,1,115,Sheller/ Others
Gobind trading company,1,10,Sheller/ Others
Gobindgarh,19,803,Purchase Centre
Gobindgarh,19,803,Purchase Centre
Gobindgarh,19,803,Sheller/ Others
Gobindgarh Jejiyan,7,289,Purchase Centre
Gobindpur Nagri,7,400,Purchase Centre
Gobindpura,22,1384,Sub Yard
Gobindpura,22,1384,Purchase Centre
Godara,6,465,Purchase Centre
Godawari agro Rice Mills,3,144,Sheller/ Others
Goel Agro foods Bhagta,1,47,Sheller/ Others
Goel Food Products,1,14,Sheller/ Others
Goel Industries,2,92,Sheller/ Others
Goel Rice Mills Bhagta,1,39,Sheller/ Others
Goel Rice Udyog,3,140,Sheller/ Others
"Goel Rice mills, Bharu",3,114,Sheller/ Others
Goel rice And Ran Mills Rama,1,136,Sheller/ Others
Gogna Rice Mills,2,123,Sheller/ Others
Gogoani -Khosa Dal Singh,9,670,Sub Yard
Goindwal,20,847,Purchase Centre
Golden Rice Mill,1,49,Sheller/ Others
Golden Rice Mill,1,49,Sheller/ Others
Golden Rice Mills Puhli,1,138,Sheller/ Others
Golden Rice Mills Rampura,1,74,Sheller/ Others
Golden Rice Mills Siriyewala,1,59,Sheller/ Others
Golden Rice mill,2,151,Sheller/ Others
"Golden palace, Mandi kilianwali",1,5,Sheller/ Others
Golden rice and janral mills,1,84,Sheller/ Others
Golekhana,14,641,Sub Yard
Golra,8,585,Purchase Centre
"Gopal Rice Industries, Kotbhai",2,134,Sheller/ Others
Gopal Rice Mill,6,392,Sheller/ Others
Gopal Rice Mill,6,392,Sheller/ Others
Gopal Rice Mill,6,392,Sheller/ Others
Gopal Rice Mill,6,392,Sheller/ Others
Gopalpur,10,558,Sub Yard
Goraya Industry,4,180,Sheller/ Others
Gori Rice Mill,1,42,Sheller/ Others
Gori Shankar Rice Mills Maud,1,79,Sheller/ Others
Gotam Rice Mill,4,158,Sheller/ Others
Gotam Rice Mills,1,69,Sheller/ Others
Goyal Agro Industries,1,64,Sheller/ Others
"Goyal Agro Industries, Fatu Dinga",3,119,Sheller/ Others
Goyal Agro foods,1,56,Sheller/ Others
"Goyal Agro foods, Dhola",1,290,Sheller/ Others
Goyal Rice Mill,1,113,Sheller/ Others
Goyal Rice Mills,4,131,Sheller/ Others
Goyal Rice Mills,4,131,Sheller/ Others
Goyal Rice mill,3,265,Sheller/ Others
"Goyal Rice mills, Bhure",1,90,Sheller/ Others
Goyal agro Ind. Gopalpur,1,5,Sheller/ Others
"Goyal foods, Ghaloti",1,99,Sheller/ Others
Goyal gram udyog,3,66,Sheller/ Others
Goyal rice Ind. Gopalpur,1,10,Sheller/ Others
"Greentak Agro foods, tapa",1,40,Sheller/ Others
Grewal Rice Mill,1,96,Sheller/ Others
Grewal Rice Mills,2,74,Sheller/ Others
Grovers rice traders,2,90,Sheller/ Others
Gujjarwal,12,545,Purchase Centre
Gujra Rice Mill,1,147,Sheller/ Others
Gujran,7,437,Purchase Centre
Gukjarpura,6,313,Purchase Centre
Gulam wala,9,199,Purchase Centre
Gumti,7,374,Purchase Centre
Gumti Rice Mills,2,96,Sheller/ Others
Gumti kalan,21,687,Purchase Centre
Gunopur,8,505,Purchase Centre
"Gupta Agro tech, Fatu Dinga",1,179,Sheller/ Others
Gupta Rice Mill,4,162,Sheller/ Others
"Gupta Rice Mills, Fatu Dinga",2,98,Sheller/ Others
Guradi,9,705,Purchase Centre
Guraya,53,2542,Main Yard
Gurbakhspura,10,604,Purchase Centre
Gurdas Nangal,7,530,Purchase Centre
Gurdaspur,39,3763,Main Yard
"Gurdev Rice mills, Barnala",2,355,Sheller/ Others
Gurdial mal and sons pvt. Ltd,3,179,Sheller/ Others
Gurdial mal and sons pvt. Ltd,3,179,Sheller/ Others
Gurditpura,10,426,Purchase Centre
Guri Sanghar,7,505,Purchase Centre
Gurm,4,218,Purchase Centre
Gurmel singh Chhali,2,55,Sheller/ Others
Gurpreet Rice Mill,1,168,Sheller/ Others
Gurr Gobind Rice Mill,3,80,Sheller/ Others
"Gurraj rice mills, Pind Badal",4,256,Sheller/ Others
"Gurte Rice Mill, Kabarwala rode, Shri Mukatsar Sahib",1,93,Sheller/ Others
Guru Gobind Singh Public School Magarkalan da Ground kaur Chand Munish Kumar,1,42,Sheller/ Others
Guru Gobind rice and janral mill,3,30,Sheller/ Others
Guru Har Sahai,100,3313,Main Yard
"Guru Kirpa Rice Mill, Raman",1,356,Sheller/ Others
Guru Kirpa Rice mill,8,397,Sheller/ Others
Guru Kirpa Rice mill,8,397,Sheller/ Others
Guru Kirpa Rice mill,8,397,Sheller/ Others
Guru Kirpa Rice mills,6,88,Sheller/ Others
Guru Kirpa agro Industry,1,94,Sheller/ Others
Guru Kirpa agro mills,1,71,Sheller/ Others
Guru Kirpa agro products,1,162,Sheller/ Others
Guru Nanak Gram Udyog Samti,6,55,Sheller/ Others
Guru Nanak Ind.,1,90,Sheller/ Others
Guru Nanak Industry,1,44,Sheller/ Others
Guru Nanak Industry,1,44,Sheller/ Others
"Guru Nanak Rice Mill, Tibbi Hari Silngh",2,152,Sheller/ Others
Guru Nanak Rice Mills Goniana,1,74,Sheller/ Others
Guru Nanak Rice Mills Siriyewala,1,98,Sheller/ Others
Guru Nanak Rice mill,21,710,Sheller/ Others
Guru Nanak Rice mill,21,710,Sheller/ Others
Guru Nanak Rice mill,21,710,Sheller/ Others
"Guru Nanak Rice mills, Handayia",1,290,Sheller/ Others
Guru Nanak agro Product,3,307,Sheller/ Others
Guru Nanak agro foods,1,60,Sheller/ Others
Guru Nanak rice and agro foods,1,86,Sheller/ Others
Guru Nanak rice and janral,1,76,Sheller/ Others
Guru Nanak rice gram udyog samti,3,196,Sheller/ Others
Guru Ram Das rice Mill,2,40,Sheller/ Others
Guru Ram Das rice and janral,1,88,Sheller/ Others
Guru Rice mills,2,111,Sheller/ Others
Guru Teg Bahadur Rice Mills,1,98,Sheller/ Others
Guru Teg Bahadur Rice mill,4,181,Sheller/ Others
Guru gobind Singh Rice Mills,1,5,Sheller/ Others
"Guru kirpa Rice Mill, Pind Fatuhiwala Kiliyawali",3,89,Sheller/ Others
Guru kirpa Rice Mills,3,578,Sheller/ Others
Guru rice mill Sohal Khurd Nakodar,2,106,Sheller/ Others
